"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"File","Rename","F2","In Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"View","Zoom In","⌘=","In Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder Java scope"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Edit","Select Enclosing Element","⇧⌃↑","Editing XML Source"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Makefile Source","Comment","⌃/","Makefile Editor"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Window","Quick Access","⌘3","In Windows"
"C/C++ Source","Declaration","⌘G","In C/C++ Views"
"Source","Organize Imports","⇧⌘O","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"C/C++ Source","Add Block Comment","⇧⌘/","C/C++ Editor"
"Views","Show View","⌥⌘Q Q","In Windows"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"File","New menu","⌥⌘N","In Windows"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Search","References in Workspace","⇧⌘G","In Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"C/C++ Source","Show outline","⌘O","C/C++ Editor"
"Edit","Shift Left","⇧Tab","C/C++ Editor"
"Text Editing","Text Start","↖","Editing Text"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"C/C++ Source","Comment/Uncomment","⌘/","C/C++ Editor"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Navigate","Open Type in Hierarchy","⇧⌘H","C/C++ Editor"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Window","Activate Editor","⌘F12","In Windows"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Window","Close Dialog","⌘W","In Dialogs"
"Window","Quick Switch Editor","⌘E","In Windows"
